=== MEXC CORRECT ORDER BOOK CRAWLER DATA ===
Crawled at: 2025-09-14 10:26:05
Total tokens: 5
Total correct order book entries: 50
============================================================

=== TOKEN DATA ===
Name	Symbol	Latest Price	Price Change %	Volume 24h	Total Volume	Start Time	End Time	Crawled At
STBL	STBL	0.0449	+91.88%	18.599K	45.844K	2025-09-12 11:00:00	Đợi xác nhận	2025-09-14 10:24:33
Aster	ASTER	0.1199	-6.03%	47.216K	116.494K	2025-09-11 17:00:00	Đợi xác nhận	2025-09-14 10:24:33
BluWhale AI	BLUAI	0.3300	+17.85%	598.5600	10.918K	2025-09-09 16:00:00	Đợi xác nhận	2025-09-14 10:24:34
Plasma	XPL	0.6700	+1.51%	1.029K	52.467K	2025-08-26 11:00:00	Đợi xác nhận	2025-09-14 10:24:34
MENTO	MENTO	0.4500	-16.66%	420.9985	30.174K	2025-08-05 11:00:00	Đợi xác nhận	2025-09-14 10:24:35

============================================================
=== CORRECT ORDER BOOK DATA ===
Token Symbol	Crawled At	Order Type	Price	Quantity	Total
STBL	2025-09-14 10:24:49	SELL	0.0450	6,650	299.2500
STBL	2025-09-14 10:24:49	SELL	0.0480	10,000	480.0000
STBL	2025-09-14 10:24:49	SELL	0.0480	5,000	240.0000
STBL	2025-09-14 10:24:49	SELL	0.0482	3,500	168.7000
STBL	2025-09-14 10:24:49	SELL	0.0490	20,000	980.0000
STBL	2025-09-14 10:24:49	SELL	0.0490	30,000	1,470.0000
STBL	2025-09-14 10:24:49	SELL	0.0499	2,000	99.8000
STBL	2025-09-14 10:24:49	SELL	0.0549	1,000	54.9000
STBL	2025-09-14 10:24:49	SELL	0.0550	2,500	137.5000
STBL	2025-09-14 10:24:49	SELL	0.0551	2,000	110.2000
ASTER	2025-09-14 10:25:06	SELL	0.1200	3,000	360.0000
ASTER	2025-09-14 10:25:06	SELL	0.1200	500	60.0000
ASTER	2025-09-14 10:25:06	SELL	0.1240	10,000	1,240.0000
ASTER	2025-09-14 10:25:06	SELL	0.1240	5,000	620.0000
ASTER	2025-09-14 10:25:06	SELL	0.1250	2,000	250.0000
ASTER	2025-09-14 10:25:06	SELL	0.1250	2,000	250.0000
ASTER	2025-09-14 10:25:06	SELL	0.1299	50,000	6,495.0000
ASTER	2025-09-14 10:25:06	SELL	0.1299	20,000	2,598.0000
ASTER	2025-09-14 10:25:06	SELL	0.1299	30,000	3,897.0000
ASTER	2025-09-14 10:25:06	SELL	0.1299	50,000	6,495.0000
BLUAI	2025-09-14 10:25:24	SELL	0.3289	170	55.9130
BLUAI	2025-09-14 10:25:24	SELL	0.3290	1,500	493.5000
BLUAI	2025-09-14 10:25:24	SELL	0.3300	200	66.0000
BLUAI	2025-09-14 10:25:24	SELL	0.3400	200	68.0000
BLUAI	2025-09-14 10:25:24	SELL	0.3400	200	68.0000
BLUAI	2025-09-14 10:25:24	SELL	0.3400	200	68.0000
BLUAI	2025-09-14 10:25:24	SELL	0.3400	200	68.0000
BLUAI	2025-09-14 10:25:24	SELL	0.3400	150	51.0000
BLUAI	2025-09-14 10:25:24	SELL	0.3400	150	51.0000
BLUAI	2025-09-14 10:25:24	SELL	0.3400	150	51.0000
XPL	2025-09-14 10:25:41	SELL	0.6896	180	124.1280
XPL	2025-09-14 10:25:41	SELL	0.6898	73	50.3554
XPL	2025-09-14 10:25:41	SELL	0.6898	145	100.0210
XPL	2025-09-14 10:25:41	SELL	0.6898	145	100.0210
XPL	2025-09-14 10:25:41	SELL	0.6898	580	400.0840
XPL	2025-09-14 10:25:41	SELL	0.6898	725	500.1050
XPL	2025-09-14 10:25:41	SELL	0.6898	250	172.4500
XPL	2025-09-14 10:25:41	SELL	0.6898	399	275.2302
XPL	2025-09-14 10:25:41	SELL	0.6898	1,000	689.8000
XPL	2025-09-14 10:25:41	SELL	0.6900	500	345.0000
MENTO	2025-09-14 10:25:58	SELL	0.6000	40	24.0000
MENTO	2025-09-14 10:25:58	SELL	0.6060	20	12.1200
MENTO	2025-09-14 10:25:58	SELL	0.6410	30	19.2300
MENTO	2025-09-14 10:25:58	SELL	0.6420	30	19.2600
MENTO	2025-09-14 10:25:58	SELL	0.6700	30	20.1000
MENTO	2025-09-14 10:25:58	SELL	0.6790	100	67.9000
MENTO	2025-09-14 10:25:58	SELL	0.6800	15	10.2000
MENTO	2025-09-14 10:25:58	SELL	0.6800	30	20.4000
MENTO	2025-09-14 10:25:58	SELL	0.6900	30	20.7000
MENTO	2025-09-14 10:25:58	SELL	0.7890	70	55.2300

============================================================
END OF CORRECT DATA
