=== MEXC CORRECT ORDER BOOK CRAWLER DATA ===
Crawled at: 2025-09-14 20:10:42
Total tokens: 1
Total correct order book entries: 225
============================================================

=== TOKEN DATA ===
Name	Symbol	Latest Price	Price Change %	Volume 24h	Total Volume	Start Time	End Time	Crawled At
STBL	STBL							2025-09-14 20:07:48

============================================================
=== CORRECT ORDER BOOK DATA ===
Token Symbol	Crawled At	Order Type	Price	Quantity	Total
STBL	2025-09-14 20:08:00	SELL	0.0450	5,000	225.0000
STBL	2025-09-14 20:08:00	SELL	0.0458	8,815	403.7270
STBL	2025-09-14 20:08:00	SELL	0.0470	5,000	235.0000
STBL	2025-09-14 20:08:00	SELL	0.0490	2,040	99.9600
STBL	2025-09-14 20:08:00	SELL	0.0490	5,000	245.0000
STBL	2025-09-14 20:08:00	SELL	0.0500	30,000	1,500.0000
STBL	2025-09-14 20:08:00	SELL	0.0540	5,000	270.0000
STBL	2025-09-14 20:08:00	SELL	0.0550	2,500	137.5000
STBL	2025-09-14 20:08:00	SELL	0.0551	2,000	110.2000
STBL	2025-09-14 20:08:00	SELL	0.0566	2,000	113.2000
STBL	2025-09-14 20:08:00	SELL			
STBL	2025-09-14 20:08:00	SELL			
STBL	2025-09-14 20:08:00	SELL	0.0600	10,000	600.0000
STBL	2025-09-14 20:08:00	SELL	0.0660	1,500	99.0000
STBL	2025-09-14 20:08:00	SELL	0.0740	1,000	74.0000
STBL	2025-09-14 20:08:00	SELL	0.0740	136	10.0640
STBL	2025-09-14 20:08:00	SELL	0.0747	300	22.4100
STBL	2025-09-14 20:08:00	SELL	0.0750	1,000	75.0000
STBL	2025-09-14 20:08:00	SELL	0.0750	500	37.5000
STBL	2025-09-14 20:08:00	SELL	0.0800	125	10.0000
STBL	2025-09-14 20:08:00	SELL			
STBL	2025-09-14 20:08:00	SELL			
STBL	2025-09-14 20:08:00	SELL	0.1000	100	10.0000
STBL	2025-09-14 20:08:00	SELL	0.1000	500	50.0000
STBL	2025-09-14 20:08:00	SELL	0.1000	500	50.0000
STBL	2025-09-14 20:08:00	SELL	0.1100	100	11.0000
STBL	2025-09-14 20:08:00	SELL	0.1210	400	48.4000
STBL	2025-09-14 20:08:00	SELL	0.1250	1,000	125.0000
STBL	2025-09-14 20:08:00	SELL	0.1250	400	50.0000
STBL	2025-09-14 20:08:00	SELL	0.1250	200	25.0000
STBL	2025-09-14 20:08:00	SELL			
STBL	2025-09-14 20:08:00	SELL			
STBL	2025-09-14 20:08:00	SELL	0.1250	1,000	125.0000
STBL	2025-09-14 20:08:00	SELL	0.1500	100	15.0000
STBL	2025-09-14 20:08:00	SELL	0.1500	400	60.0000
STBL	2025-09-14 20:08:00	SELL	0.2000	50	10.0000
